StopTime,PPBv,Concentration,TimeChange,RateOfChange,Month,Season
2010-12-21 14:34:00,0.003,-1.7926831772721008,,,12,Winter
2010-12-21 18:34:00,0.005,-1.5708344276557444,4.0,0.05546218740408909,12,Winter
2010-12-21 22:35:00,0.011000000000000001,-1.2284117468335383,4.016666666666667,0.08525045995573598,12,Winter
2010-12-22 02:35:00,0.004,-1.667744440663801,4.0,-0.10983317345756566,12,Winter
2010-12-22 06:35:00,0.251,0.12986928948927492,4.0,0.449403432538269,12,Winter
2010-12-22 10:35:00,0.006,-1.4916531816081195,4.0,-0.40538061777434864,12,Winter
2010-12-22 14:35:00,0.008,-1.3667144449998196,4.0,0.031234684152074976,12,Winter
2010-12-22 18:35:00,0.01,-1.2698044319917632,4.0,0.024227503252014115,12,Winter
2010-12-22 22:36:00,0.008,-1.3667144449998196,4.016666666666667,-0.024126974192877126,12,Winter
2010-12-23 02:36:00,0.004,-1.667744440663801,4.0,-0.07525749891599531,12,Winter
2010-12-23 06:36:00,0.008,-1.3667144449998196,4.0,0.07525749891599531,12,Winter
2010-12-23 10:36:00,0.01,-1.2698044319917632,4.0,0.024227503252014115,12,Winter
2010-12-23 14:36:00,0.006999999999999999,-1.4247063919775065,4.0,-0.038725489996435825,12,Winter
2010-12-23 18:36:00,0.006999999999999999,-1.4247063919775065,4.0,0.0,12,Winter
2010-12-27 12:45:00,0.013000000000000001,-1.1558610796849265,90.15,0.0029821998035782587,12,Winter
2010-12-27 16:45:00,0.024,-0.8895931902801573,4.0,0.0665669723511923,12,Winter
2010-12-27 20:45:00,0.012,-1.1906231859441383,4.0,-0.07525749891599526,12,Winter
2010-12-28 00:46:00,0.021,-0.947585137257844,4.016666666666667,0.060507398013185304,12,Winter
2010-12-28 04:46:00,0.035,-0.7257363876414876,4.0,0.05546218740408909,12,Winter
2010-12-28 08:46:00,0.06,-0.4916531816081196,4.0,0.058520801508342005,12,Winter
